,meanFitSL,meanFitIL,meanILprop,PayWorld,PayUsed,PayEff,SimpsonIndex,GiniIndex,nInd,nPat,stratProp,payoffDis,comp,k,theta,payoffChangeRate,variance,seed,compStrength,mode,calcTime
90,4.746009784,5.248353273,0.4250663371,830,172.1203512,0.2073739171,0.3450383807,0.8061165367,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2903,1,,35_mins
91,5.216967667,5.350183669,0.9641476743,830,185.050729,0.2229526856,0.3606399025,0.7842829233,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2914,1,,35_mins
92,5.069093786,5.324043255,0.7604958017,830,182.4360023,0.2198024124,0.3580548771,0.788544305,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2923,1,,35_mins
93,4.956522869,5.356357376,0.7973174367,830,182.9938158,0.2204744769,0.3583241555,0.7882755079,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2938,1,,35_mins
94,5.092380263,5.305262505,0.6792192214,830,181.4287852,0.2185888978,0.3569052379,0.7910154308,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2947,1,,35_mins
95,5.193808421,5.336365271,0.817248858,830,184.3116054,0.2220621751,0.3601727626,0.7861010951,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2957,1,,35_mins
96,4.912470013,5.265647873,0.6102528685,830,177.6985972,0.2140946955,0.3524663798,0.7968325244,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2962,1,,35_mins
97,5.101325593,5.315643331,0.9447251402,830,184.5735039,0.2223777156,0.360281234,0.7846720751,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2975,1,,35_mins
98,5.041103732,5.355757555,0.9902099766,830,185.8423431,0.2239064374,0.3617718061,0.7827807654,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2987,1,,35_mins
99,4.841484252,5.325781031,0.6023408818,830,177.3516853,0.2136767293,0.3517022498,0.7979455756,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2999,1,,35_mins
100,4.93661738,5.282715837,0.6743363261,830,180.2769292,0.2172011196,0.3556832317,0.7930820441,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,21002,1,,35_mins
